ticker,history_dev
YEG,"  Năm 2006: Tiền thân là trang thông tin điện tử www.yeah1.com chuyên cung cấp thông tin giải trí cho giới trẻ được thành lập; Ngày 03/12/2007: Tăng vốn điều lệ lên 02 tỷ đồng; Năm 2008: Tăng vốn điều lệ lên 5.333.330.000 đồng và thành lập kênh truyền hình cung cấp thông tin giải trí Yeah1TV; Năm 2010: Tăng vốn điều lệ lên 30.659.740.000 đồng và mở thêm kênh Yeah1Family và kênh iMovieTV; Ngày 20/11/2013: Tăng vốn điều lệ lên 45 tỷ đồng; Ngày 17/04/2014: Tăng vốn điều lệ lên 65 tỷ đồng; Năm 2015: Tăng vốn điều lệ lên 100 tỷ đồng và trở thành đối tác đa kênh của YouTube; Năm 2017:  Trở thành đối tác duy nhất của Google tại Việt Nam và khu vực Đông Nam Á thông qua Công ty con Netlink, cung cấp dịch vụ quảng cáo trực tuyến cho hơn 600 trang website toàn thế giới; Năm 2018: Mở rộng thị trường sang Thái Lan, Philippines và Indonesia và hợp tác với Universal Music để ra mắt kênh UNI Channel chuyên về hoạt động âm nhạc cho giới trẻ; Ngày 02/02/2018: Tăng vốn điều lệ lên 238 tỷ đồng; Ngày 19/06/2018: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 26/06/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 29/08/2018: Tăng vốn điều lệ lên 312.799.680.000 đồng; Ngày 02/11/2023: Tăng vốn điều lệ lên 762.799.680.000 đồng; Ngày 11/01/2024: Tăng vốn điều lệ lên 1.313.532.640.000 đồng; Ngày 25/07/2024: Tăng vốn điều lệ lên 1.370.014.540.000 đồng;   "
YBM,"  Ngày 15/10/2015: Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái được thành lập với vốn điều lệ là 35 tỷ đồng theo Giấy chứng nhận đăng ký kinh doanh số 5200824701 cấp lần đầu bởi Sở kế hoạch và Đầu tư tỉnh Yên Bái; Tháng 04/2017: Tăng vốn điều lệ lên 100 tỷ đồng; Tháng 05/2018: Tăng vốn điều lệ lên 129,99 tỷ đồng; Ngày 21/08/2018: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 01/11/2019: Tăng vốn điều lệ lên 142,99 tỷ đồng;    "
VTP,"  Ngày 01/07/1997: Tiền thân là Trung tâm Phát hành Báo chí được thành lập; Năm 1999: Đổi tên thành Trung tâm Bưu chính Quân đội; Năm 2006: Chuyển đổi thành Công ty TNHH Nhà nước MTV Bưu chính Viettel; Ngày 14/01/2009: Bộ Quốc phòng ban hành Quyết định số 123/QĐ-BQP về việc phê duyệt phương án cổ phần hóa Công ty TNHH Nhà nước MTV Bưu chính Viettel; Ngày 27/03/2009: Đấu giá cổ phần lần đầu ra công chúng (IPO) với mức giá đấu thành công bình quân là 10.171đồng/cổ phần; Ngày 03/07/2009: Chuyển đổi thành Công ty Cổ phần Bưu chính Viettel với vốn điều lệ 60 tỷ đồng theo Giấy chứng nhận đăng ký kinh doanh số 0103038883 cấp lần đầu bởi Sở Kế hoạch và Đầu tư Thành phố Hà Nội; Ngày 09/09/2009: Khai trương dịch vụ chuyển phát nhanh tại thị trường Campuchia; Tháng 02/2011: Được cấp giấy phép chuyển phát thư Quốc tế; Ngày 13/04/2012: Chuyển đổi thành Tổng công ty Cổ phần Bưu chính Viettel theo Giấy chứng nhận đăng ký kinh doanh số 0101093672 cấp bởi Sở Kế hoạch và Đầu tư Thành phố Hà Nội; Ngày 22/06/2015: Tăng vốn điều lệ lên 68,99 tỷ đồng; Ngày 22/06/2016: Tăng vốn điều lệ lên 181,92 tỷ đồng; Ngày 19/09/2016: Tăng vốn điều lệ lên 228,85 tỷ đồng; Ngày 31/10/2017: Tăng vốn điều lệ lên 296,8 tỷ đồng; Tháng 04/2017: Mở công ty thành viên tại Myanmar; Ngày 20/09/2018: Tăng vốn điều lệ lên 413,76 tỷ đồng; Ngày 23/11/2018: Giao dịch trên thị trường UPCOM; Ngày 12/07/2019: Tăng vốn điều lệ lên 585,05 tỷ đồng; Ngày 30/12/2019: Tăng vốn điều lệ lên 596.19 tỷ đồng. Ngày 23/09/2020: Tăng vốn điều lệ lên 830,47 tỷ đồng. Ngày 05/08/2021: Tăng vốn điều lệ lên 1.035,58 tỷ đồng. Ngày 11/11/2022: Tăng vốn điều lệ lên 1.132 tỷ đồng. Ngày 15/05/2023: Giảm vốn điều lệ xuống 1.131 tỷ đồng. Ngày 25/08/2023: Tăng vốn điều lệ lên 1.217 tỷ đồng. Ngày 21/12/2023: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 01/03/2024: Huỷ đăng ký giao dịch trên thị trường UPCOM; Ngày 12/03/2024: Chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);   "
VTO,  Năm 1975: Tiền thân là Công ty Vận tải Nhiên liệu VITACO được thành lập; Năm 1993: Đổi tên thành Công ty Vận tải Xăng dầu VITACO; Năm 2005: Chuyển đổi thành Công ty Cổ phần Vận tải Xăng dầu VITACO; Năm 2007: Niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);   
VTB,  Năm 1981: Tiền thân là Nhà máy chế tạo tụ xoay Tân Bình thuộc Liên Hiệp các Xí Nghiệp Điện tử được thành lập; Năm 1983: Đổi tên thành Xí Nghiệp Viettronics Tân Bình; Năm 1991: Đổi tên thành Công ty Công ty Điện tử Tân Bình; Tháng 07/2004: Chuyển đổi thành Công ty Cổ phần Điện tử Tân Bình; Ngày 27/12/2006: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 22/02/2011: Đổi tên thành Công ty Cổ phần Viettronics Tân Bình;     
VSI,"  1975: Thành lập Công ty Khoan, Cấp nước miền Nam trên cơ sở Quốc gia Thủy cục (cơ quan chuyên quản lý về nước sạch của chế độ cũ); 1977: Đổi tên Công ty Khoan, Cấp nước miền Nam thành Công ty Xây dựng Cấp thoát nước số 2; 2001: Đổi tên Công ty Xây dựng Cấp thoát nước số 2 thành Công ty Đầu tư và Xây dựng Cấp thoát nước - Công ty Nhà nước trực thuộc Bộ Xây dựng; 2005: Chuyển thành công ty trực thuộc Tổng Công ty Đầu tư Xây dựng Cấp thoát nước và Môi trường Việt Nam; 2008: Bộ Xây dựng quyết định chuyển đổi mô hình hoạt động của Công ty sang hình thức công ty cổ phần với số vốn điều lệ ban đầu là 120 tỷ đồng; 2010: Cổ phiếu của Công ty được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hồ Chí Minh (HOSE); 2011: Niêm yết bổ sung 1,2 triệu cổ phiếu, nâng vốn điều lệ Công ty lên 132 tỷ.   "
VSH,  Ngày 15/09/1991: Khởi công xây dựng Nhà máy thuỷ điện Vĩnh Sơn Ngày 11/07/1994: Nhà máy Thuỷ điện Vĩnh Sơn trực thuộc Công ty Điện Lực III được thành lập theo Quyết định số 415NL/TCCB-LĐ của Bộ Năng lượng; Ngày 23/11/1995: Khởi công Thuỷ điện Sông Hinh; Ngày 03/07/2000: Đổi tên thành Nhà máy Thuỷ điện Vĩnh Sơn - Sông Hinh theo Quyết định số 163EVN/HĐQT-TCCB.ĐT của Tổng Công ty Điện lực Việt Nam; Ngày 02/12/2004: Bộ Công nghiệp ban hành Quyết định số 151/2004/QĐ-BCN về việc chuyển Nhà máy Thuỷ điện Vĩnh Sơn - Sông Hinh thành Công ty cổ phần Thủy điện Vĩnh Sơn – Sông Hinh; Ngày 04/05/2005: Chính thức hoạt động theo mô hình công ty cổ phần; Ngày 07/07/2005: Giao dịch tại Trung tâm Giao dịch Chứng khoán Hà Nội; Ngày 18/07/2006: Giao dịch tại Trung tâm Giao dịch Chứng khoán Thành phố Hồ Chí Minh; Tháng 12/2007: Tăng vốn điều lệ lên 1.374.942.580.000 đồng; Tháng 12/2009: Tăng vốn điều lệ lên 2.062.412.460.000 đồng; Ngày 26/02/2021: Tăng vốn điều lệ lên 2.362.412.460.000 đồng;   
VSC,"  1985: Công ty Container Việt Nam được thành lập; 1995: Thành lập công ty liên doanh với 5 công ty Nhật, đặt tên là Vjaco; 2002: Công ty được cổ phần hóa và đổi tên thành Công ty Cổ phần Container Việt Nam; Ngày 12/12/2007: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 09/01/2008: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); 2009: Thành lập công ty con Viconship Quảng Ninh; 2014: Thành lập Công ty Cổ phần Cảng Xanh VIP; Ngày 27/06/2016: Tăng vốn điều lệ lên 455.571.420.000 đồng; Ngày 17/01/2018: Tăng vốn điều lệ lên 501.123.040.000 đồng; Ngày 11/07/2019: Tăng vốn điều lệ lên 551.227.980.000 đồng; Ngày 27/01/2022: Tăng vốn điều lệ lên 1.102.455.960.000 đồng; Ngày 14/07/2022: Tăng vốn điều lệ lên 1.212.693.970.000 đồng; Ngày 07/09/2023: Tăng vốn điều lệ lên 1.333.956.420.000 đồng; Ngày 03/05/2024: Tăng vốn điều lệ lên 2.667.912.840.000 đồng; Ngày 26/09/2024: Tăng vốn điều lệ lên 2.867.968.190.000 đồng;   "
VRE,"  Ngày 11/04/2012: Công ty TNHH Vincom Retail được thành lập; Năm 2013: Chuyển đổi thành Công ty Cổ phần Vincom Retail và nhận chuyển nhượng 04 Trung tâm Thương mại Vincom từ Vingroup; Tháng 12/2013: Tăng vốn điều lệ lên 9.303,8 tỷ đồng; Năm 2014: Nhận chuyển nhượng Vincom Mega Mall Times City từ Vingroup và Khai trương Trung tâm Thương mại Vincom Plaza Hạ Long; Tháng 04/2014: Tăng vốn điều lệ lên 12.010,58 tỷ đồng; Năm 2015: Khai trương 11 Trung tâm Thương mại mới và mua lại 05 siêu thị Maximark; Tháng 07/2015: Tăng vốn điều lệ lên 15.717.163.270.000 đồng; Năm 2016: Ra mắt Trung tâm mua sắm Vincom+ và Khai trương 10 Trung tâm Thương mại mới; Tháng 12/2016: Tăng vốn điều lệ lên 21.091.724.950.000 đồng; Tháng 06/2017: Khai trương 09 Trung tâm Thương mại mới; Tháng 07/2017: Khai trương Trung tâm Thương mại Vincom Plaza Hà Tĩnh; Tháng 09/2017: Tăng vốn điều lệ lên 19.010.787.330.000 đồng; Ngày 25/10/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 06/11/2017: Giao dịch trên trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 02/01/2019: Tăng vốn điều lệ lên 23.288.184.100.000 đồng;   "
VRC,  1978: Tiền thân của Công ty là Xí nghiệp Xây lắp được thành lập; 2005: Chuyển thành Công ty Cổ phần Xây lắp Bà Rịa - Vũng Tàu. Vốn điều lệ là 17 tỷ đồng; 2007: Tăng vốn điều lệ lên 37 tỷ đồng; 2008: Đổi tên thành Công ty Cổ phần Xây lắp và Địa ốc Vũng Tàu; 2010: Tăng vốn điều lệ lên 101 tỷ đồng sau 3 lần điều chỉnh tăng vốn; 2011: Tăng vốn điều lệ lên 145 tỷ đồng; 2012: Cổ phiếu của công ty được niêm yết và giao dịch trên sàn HOSE; 2017: Công ty đổi tên thành Công ty Cổ phần Bất động sản và Đầu tư VRC và nâng vốn điều lệ lên 500 tỷ đồng;   
